"Destination","FlightNumber","Code","Delay","lat","lng","country","Date","Time","Airline","Armenian","DayOfWeek","Status"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-05,"10:40:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-22,"20:00:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-26,"08:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-19,"22:55:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-21,"22:20:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-12-02,"22:55:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-23,"20:00:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-28,"12:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-22,"20:35:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-21,"12:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-19,"10:35:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-19,"11:10:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-17,"11:50:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-21,"11:50:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-12-01,"20:35:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-16,"20:35:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-23,"12:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-26,"22:20:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-31,"22:55:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-20,"12:15:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-20,"20:35:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-18,"22:20:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-18,"10:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-31,"11:50:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-25,"22:20:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-02,"11:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-04,"22:20:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-18,"11:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-08,"12:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-04,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-18,"22:55:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-02,"10:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-05,"22:35:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-17,"09:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-11,"11:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-02,"12:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-30,"12:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-07,"22:20:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-05,"11:15:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-15,"20:35:00","Wizz Air",0,"Wednesday","Ontime"
"Aktau","DV 845","SCO","Departed","51.1975","43.6588","Kazakhstan",2023-10-16,"22:45:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 845","SCO","Ontime","Kazakhstan","51.1975","43.6588",2023-11-13,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 846","SCO","Departed","43.6588","Kazakhstan","51.1975",2023-11-18,"00:25:00","Scat Airlines",0,"Saturday","Ontime"
"Aktau","DV 846","SCO","Ontime","51.1975","43.6588","Kazakhstan",2023-10-16,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 845","SCO","Ontime","Kazakhstan","51.1975","43.6588",2023-11-27,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 845","SCO","Ontime","51.1975","43.6588","Kazakhstan",2023-10-23,"22:45:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 845","SCO","Ontime","Kazakhstan","51.1975","43.6588",2023-10-30,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 846","SCO","Ontime","43.6588","Kazakhstan","51.1975",2023-10-23,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 845","SCO","Departed","43.6588","Kazakhstan","51.1975",2023-11-20,"23:35:00","Scat Airlines",0,"Monday","Ontime"
"Aktau","DV 846","SCO","Ontime","51.1975","43.6588","Kazakhstan",2023-11-27,"00:25:00","Scat Airlines",0,"Monday","Ontime"
